codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0078,3,400.0,300.0,271.9
BR0079,3,398.0,277.0,256.0
BR0080,3,400.0,277.2,288.9
BR0081,3,400.0,277.2,298.5
BR0082,3,400.0,300.0,288.9
BR0083,3,400.0,300.0,271.9
BR0084,3,398.0,277.0,256.0
BR0085,3,400.0,277.2,288.9
BR0086,3,400.0,239.0,244.0
BR0087,3,400.0,240.0,233.0
BR0088,3,398.0,277.0,256.0
BR0089,3,399.0,239.0,254.0
BR0090,3,400.0,240.0,233.0
BR0091,3,397.0,240.0,223.0
BR0092,3,398.0,277.0,256.0
BR0092XL,3,400.0,300.0,233.6
BR0093,3,398.0,277.0,256.0
BR0094,3,400.0,274.0,225.0
BR0095,3,400.0,266.6,225.0
BR0096,3,400.0,277.2,198.5
BR0097,3,400.0,240.0,215.5
BR0098,3,400.0,274.0,225.0
BR0099,3,400.0,240.0,215.5
BR0100,3,400.0,300.0,179.0
BR0101,3,400.0,300.0,179.0
BR0102,3,400.0,300.0,194.0
BR0103,3,400.0,300.0,219.8
BR0104,3,400.0,300.0,199.4
BR0105,3,400.0,300.0,179.0
BR0106,3,400.0,274.0,225.0
BR0107,3,400.0,269.8,252.8
BR0108,3,397.0,298.0,322.0
BR0109,3,397.0,298.0,322.0
BR0110,3,400.0,277.2,223.0
BR0111,3,400.0,277.2,198.5
BR0112,3,400.0,277.2,223.0
BR0113,3,400.0,300.0,300.0
BR0114,3,400.0,300.0,271.9
BR0115,3,400.0,300.0,288.9
BR0116,3,400.0,300.0,162.5
BR0117,3,400.0,300.0,257.1
BR0118,3,400.0,300.0,233.6
BR0119,3,400.0,300.0,199.4
BR0120,3,400.0,300.0,219.8
BR0121,3,400.0,300.0,342.1
BR0122,3,400.0,291.1,376.2
BR0123,3,400.0,300.0,300.0
BR0124,3,400.0,291.1,376.2
BR0125,3,400.0,300.0,199.4
BR0126,3,400.0,300.0,257.0
BR0127,3,400.0,300.0,199.4
BR0128,3,400.0,277.2,223.0
BR0129,3,400.0,277.2,223.0
BR0130,3,400.0,300.0,271.9
BR0131,3,400.0,300.0,271.9
BR0132,3,400.0,240.0,250.6
BR0133,3,400.0,240.0,250.6
BR0134,3,400.0,300.0,288.9
BR0135,3,400.0,300.0,288.9
BR0136,3,400.0,300.0,288.9
BR0136XL,3,400.0,300.0,288.9
BR0137,3,400.0,277.2,298.5
BR0138,3,400.0,235.4,158.9
BR0139,3,400.0,300.0,288.9
BR0140,3,400.0,300.0,257.0
BR0141,3,400.0,300.0,257.0
BR0142,3,400.0,269.8,344.2
BR0143,3,400.0,300.0,257.0
BR0144,3,400.0,277.2,223.0
BR0145,3,400.0,300.0,179.0
BR0146,3,400.0,300.0,179.0
BR0147,3,400.0,300.0,219.8
BR0148,3,400.0,300.0,199.4
BR0149,3,400.0,300.0,179.0
BR0150,3,400.0,300.0,199.4
BR0151,3,400.0,300.0,225.0
BR0152,3,400.0,300.0,219.8
BR0153,3,400.0,269.8,252.8
BR0154,3,400.0,300.0,219.8
BR0155,3,400.0,300.0,219.8
BR0156,3,400.0,299.0,178.0
BR0157,3,400.0,300.0,257.1
BR0158,3,400.0,300.0,179.0
BR0159,3,400.0,300.0,162.5
BR0160,3,400.0,300.0,162.5
BR0161,3,400.0,300.0,199.4
BR0162,3,400.0,300.0,219.8
BR0163,3,400.0,300.0,225.0
BR0164,3,400.0,300.0,162.5
BR0165,3,400.0,300.0,199.4
BR0166,3,400.0,300.0,150.0
BR0167,3,400.0,300.0,162.5
BR0168,3,400.0,300.0,199.4
BR0169,3,400.0,300.0,219.8
BR0170,3,400.0,300.0,150.0
BR0171,3,400.0,269.8,179.4
BR0172,3,400.0,300.0,225.0
BR0173,3,400.0,300.0,225.0
BR0174,3,400.0,300.0,162.5
BR0175,3,400.0,300.0,288.9
BR0176,3,400.0,277.2,163.6
BR0177,3,400.0,277.2,163.6
BR0178,3,400.0,271.9,163.6
BR0179,3,400.0,300.0,150.0
BR0180,3,400.0,277.2,163.6
BR0181,3,400.0,277.2,163.6
BR0182,3,400.0,300.0,257.0
BR0183,3,400.0,274.0,225.0
BR0184,3,400.0,300.0,199.4
BR0185,3,400.0,277.2,298.5
BR0186,3,400.0,300.0,219.8
BR0187,3,400.0,276.0,300.0
BR0188,3,400.0,300.0,199.4
BR0189,3,400.0,266.6,247.1
BR0190,3,398.0,277.0,256.0
BR0191,3,400.0,274.0,225.0
BR0192,3,400.0,240.0,216.5
BR0193,3,400.0,277.2,288.9
BR0194,3,400.0,300.0,300.0
BR0195,3,400.0,300.0,300.0
BR0196,3,400.0,277.2,288.9
BR0197,3,400.0,300.0,199.4
BR0198,3,400.0,300.0,199.4
BR0199,3,400.0,300.0,219.8
BR0200,3,400.0,300.0,179.0
BR0201,3,400.0,300.0,225.0
BR0202,3,400.0,300.0,179.0
BR0203,3,400.0,274.0,225.0
BR0204,3,400.0,277.2,223.0
BR0205,3,400.0,300.0,225.0
BR0206,3,400.0,300.0,199.4
BR0207,3,400.0,300.0,199.4
BR0208,3,398.0,277.0,256.0
BR0209,3,400.0,300.0,179.0
BR0209XL,3,400.0,300.0,199.4
BR0210,3,400.0,299.0,178.0
BR0211,3,400.0,300.0,179.0
BR0212,3,397.0,291.0,360.0
BR0213,3,400.0,300.0,210.2
BR0214,3,400.0,300.0,194.0
BR0215,3,400.0,300.0,194.0
BR0216,3,400.0,269.8,179.4
BR0217,3,400.0,300.0,179.0
BR0218,3,400.0,299.0,178.0
BR0219,3,400.0,300.0,174.0
BR0220,3,400.0,277.2,178.7
BR0221,3,400.0,269.8,179.4
BR0222,3,400.0,277.2,198.5
BR0223,3,400.0,277.2,178.7
BR0224,3,398.0,269.0,150.0
BR0225,3,398.0,269.0,150.0
BR0226,3,400.0,277.2,178.7
BR0227,3,400.0,240.0,195.8
BR0228,3,400.0,277.2,178.7
BR0229,3,400.0,277.2,198.5
BR0230,3,400.0,300.0,150.0
BR0231,3,400.0,299.0,178.0
BR0232,3,400.0,300.0,257.1
BR0233,3,400.0,300.0,300.0
BR0234,3,400.0,277.2,178.7
BR0235,3,398.0,277.0,256.0
BR0236,3,398.0,277.0,256.0
BR0237,3,400.0,300.0,247.4
BR0238,3,400.0,300.0,257.1
BR0239,3,400.0,240.0,267.8
BR0240,3,400.0,240.0,267.8
BR0241,3,400.0,300.0,257.0
BR0242,3,400.0,300.0,257.0
BR0243,3,400.0,277.2,298.5
BR0244,3,400.0,300.0,252.0
BR0245,3,400.0,239.0,244.0
BR0246,3,399.0,239.0,254.0
BR0247,3,400.0,277.2,298.5
BR0248,3,400.0,277.2,336.8
BR0249,3,400.0,300.0,288.9
BR0250,3,400.0,300.0,288.9
BR0251,3,400.0,269.8,344.2
BR0252,3,400.0,269.8,344.2
BR0253,3,400.0,277.2,336.8
BR0254,3,400.0,277.2,336.8
BR0255,3,397.0,291.0,360.0
BR0256,3,397.0,291.0,360.0
BR0257,3,400.0,300.0,288.9
BR0258,3,400.0,300.0,288.9
BR0259,3,400.0,269.8,252.8
BR0260,3,400.0,277.2,223.0
BR0261,3,400.0,277.2,198.5
BR0262,3,400.0,277.2,198.5
BR0263,3,400.0,240.0,211.1
BR0264,3,400.0,240.0,215.5
BR0265,3,400.0,240.0,195.8
BR0266,3,400.0,300.0,271.9
BR0267,3,400.0,277.2,298.5
BR0268,3,400.0,300.0,179.0
BR0269,3,400.0,277.2,198.5
BR0270,3,400.0,300.0,199.4
BR0271,3,400.0,300.0,199.4
BR0272,3,400.0,300.0,257.1
BR0273,3,400.0,300.0,225.0
BR0274,3,400.0,300.0,257.0
BR0275,3,400.0,300.0,179.0
BR0276,3,400.0,300.0,162.5
BR0277,3,400.0,300.0,288.9
BR0278,3,400.0,300.0,300.0
BR0279,3,400.0,300.0,257.0
BR0280,3,400.0,300.0,257.0
BR0281,3,400.0,300.0,219.8
BR0282,3,400.0,300.0,271.9
BR0283,3,400.0,300.0,225.0
BR0284,3,400.0,300.0,219.8
BR0285,3,400.0,300.0,179.0
BR0286,3,400.0,300.0,179.0
BR0287,3,400.0,300.0,288.9
BR0288,3,400.0,240.0,233.0
BR0289,3,400.0,240.0,216.5
BR0290,3,400.0,300.0,300.0
BR0291,3,400.0,300.0,199.4
BR0292,3,400.0,300.0,288.9
BR0293,3,400.0,300.0,219.8
BR0294,3,400.0,300.0,186.0
BR0295,3,400.0,300.0,233.6
BR0296,3,400.0,300.0,244.2
BR0297,3,400.0,300.0,150.0
BR0298,3,400.0,300.0,150.0
BR0299,3,400.0,300.0,219.8
BR0300,3,397.0,240.0,223.0
BR0301,3,398.0,239.0,264.0
BR0302,3,400.0,240.0,215.5
BR0303,3,400.0,235.4,158.9
BR0304,3,400.0,271.9,163.6
BR0305,3,400.0,300.0,257.1
BR0306,3,400.0,300.0,257.0
BR0307,3,400.0,300.0,257.0
BR0308,3,400.0,300.0,219.8
BR0309,3,400.0,277.2,178.7
BR0310,3,400.0,277.2,288.9
BR0310XL,3,400.0,300.0,271.9
BR0311,3,400.0,300.0,219.8
BR0312,3,400.0,300.0,219.8
BR0313,3,400.0,300.0,219.8
BR0314,3,400.0,300.0,179.0
BR0314XL,3,400.0,299.0,178.0
BR0315,3,400.0,299.0,178.0
BR0316,3,400.0,300.0,162.5
BR0317,3,400.0,300.0,162.5
BR0318,3,400.0,300.0,199.4
BR0319,3,400.0,300.0,162.5
BR0320,3,400.0,300.0,225.0
BR0321,3,398.0,239.0,264.0
BR0322,3,400.0,300.0,225.0
BR0323,3,400.0,300.0,247.4
BR0324,3,400.0,269.8,179.4
BR0325,3,398.0,277.0,256.0
BR0326,3,400.0,239.0,273.0
BR0327,3,400.0,232.7,291.1
BR0328,3,400.0,240.0,233.0
BR0329,3,400.0,239.0,244.0
BR0330,3,400.0,240.0,233.0
BR0331,3,400.0,239.0,244.0
BR0332,3,400.0,269.8,252.8
BR0333,3,400.0,274.0,225.0
BR0334,3,398.0,277.0,256.0
BR0335,3,398.0,277.0,256.0
BR0336,3,400.0,300.0,199.4
BR0337,3,397.0,240.0,223.0
BR0338,3,400.0,300.0,179.0
BR0339,3,400.0,240.0,267.8
BR0340,3,400.0,274.0,225.0
BR0340XL,3,398.0,277.0,256.0
BR0341,3,400.0,240.0,233.0
BR0342,3,398.0,277.0,256.0
BR0343,3,400.0,269.8,344.2
BR0344,3,400.0,277.2,288.9
BR0345,3,397.0,298.0,322.0
BR0346,3,400.0,300.0,257.0
BR0347,3,398.0,277.0,256.0
BR0348,3,400.0,300.0,288.9
BR0349,3,400.0,300.0,257.1
BR0350,3,400.0,300.0,219.8
BR0351,3,400.0,300.0,219.8
BR0352,3,400.0,277.2,298.5
BR0353,3,398.0,239.0,264.0
BR0354,3,400.0,277.2,288.9
BR0355,3,400.0,277.2,198.5
BR0356,3,398.0,277.0,256.0
BR0357,3,400.0,239.0,244.0
BR0358,3,400.0,300.0,257.0
BR0359,3,400.0,239.0,244.0
BR0360,3,400.0,300.0,199.4
BR0361,3,400.0,300.0,162.5
BR0362,3,400.0,300.0,271.9
BR0363,3,400.0,300.0,271.9
BR0364,3,400.0,300.0,233.6
BR0365,3,400.0,300.0,179.0
BR0366,3,400.0,300.0,225.0
BR0367,3,400.0,300.0,199.4
BR0368,3,400.0,300.0,186.0
BR0369,3,400.0,300.0,271.9
BR0370,3,400.0,300.0,244.2
BR0371,3,400.0,300.0,257.0
BR0372,3,400.0,300.0,271.9
BR0373,3,400.0,300.0,300.0
BR0374,3,400.0,300.0,257.0
BR0375,3,400.0,300.0,257.0
BR0376,3,400.0,300.0,257.0
BR0377,3,400.0,300.0,257.0
BR0378,3,398.0,277.0,256.0
BR0379,3,398.0,277.0,256.0
BR0380,3,398.0,277.0,256.0
BR0381,3,400.0,274.0,225.0
BR0382,3,400.0,274.0,225.0
BR0383,3,400.0,274.0,225.0
BR0384,3,400.0,274.0,225.0
BR0385,3,400.0,274.0,225.0
BR0386,3,400.0,300.0,225.0
BR0387,3,400.0,300.0,199.4
BR0388,3,400.0,239.0,244.0
BR0389,3,400.0,274.0,225.0
BR0390,3,400.0,269.8,252.8
BR0391,3,400.0,277.2,198.5
BR0392,3,400.0,300.0,179.0
BR0393,3,400.0,277.2,198.5
BR0394,3,400.0,239.0,212.0
BR0395,3,400.0,269.8,179.4
BR0396,3,400.0,300.0,210.2
BR0397,3,400.0,300.0,225.0
BR0398,3,400.0,300.0,219.8
BR0399,3,400.0,300.0,300.0
BR0400,3,400.0,300.0,300.0
BR0401,3,400.0,300.0,210.2
BR0402,3,400.0,300.0,179.0
BR0403,3,396.0,240.0,337.0
BR0404,3,400.0,269.8,252.8
BR0405,3,400.0,300.0,179.0
BR0406,3,400.0,300.0,300.0
BR0407,3,400.0,300.0,257.1
BR0408,3,400.0,300.0,300.0
BR0409,3,400.0,269.8,252.8
BR0410,3,400.0,300.0,288.9
BR0411,3,400.0,300.0,219.8
BR0412,3,400.0,300.0,225.0
BR0413,3,400.0,300.0,244.2
BR0414,3,400.0,300.0,179.0
BR0415,3,400.0,269.8,252.8
BR0416,3,400.0,300.0,179.0
BR0417,3,400.0,240.0,250.6
BR0418,3,400.0,240.0,250.6
BR0419,3,400.0,300.0,189.5
BR0420,3,400.0,277.2,198.5
BR0421,3,400.0,277.2,223.0
